Generation,BestGen,BestEver,AvgFitness,EliteIndex
741,7.700,415.400,-62.148,13
742,4.900,415.400,-108.741,44
743,8.200,415.400,-48.266,25
744,8.300,415.400,-110.495,45
745,5.400,415.400,-93.770,41
746,48.300,415.400,-66.702,55
747,2.900,415.400,-119.888,21
748,7.200,415.400,-84.479,23
749,4.500,415.400,-91.030,15
750,22.800,415.400,-161.327,5
751,7.500,415.400,-137.636,44
752,2.300,415.400,-159.754,3
753,4.100,415.400,-101.634,48
754,7.600,415.400,-88.771,10
755,5.300,415.400,-96.820,38
756,255.800,415.400,-54.854,28
757,4.800,415.400,-71.734,39
758,2.300,415.400,-203.604,47
759,4.900,415.400,-146.839,42
760,4.900,415.400,-112.434,29
761,3.100,415.400,-162.877,38
762,2.400,415.400,-252.882,21
763,2.700,415.400,-152.250,14
764,4.600,415.400,-88.032,27
765,3.700,415.400,-62.641,47
766,7.200,415.400,-33.705,4
767,8.700,415.400,-109.134,12
768,61.000,415.400,-55.746,38
769,4.000,415.400,-21.666,20
770,6.600,415.400,-7.234,47
771,7.100,415.400,-47.109,46
772,34.000,415.400,-22.793,22
773,8.200,415.400,-39.618,29
774,196.700,415.400,-97.761,24
775,3.200,415.400,-83.257,55
776,5.100,415.400,-70.870,10
777,3.300,415.400,-156.916,17
778,1.900,415.400,-192.059,22
779,4.600,415.400,-142.941,13
780,4.100,415.400,-69.220,22
781,4.700,415.400,-76.537,9
782,7.100,415.400,-98.455,13
783,155.800,415.400,-131.050,47
784,4.900,415.400,-149.723,46
785,3.900,415.400,-155.157,46
786,1.900,415.400,-129.055,19
787,6.100,415.400,-71.341,1
788,2.200,415.400,-119.470,14
789,7.400,415.400,-155.880,44
790,8.400,415.400,-79.902,54
791,14.400,415.400,-157.534,5
792,84.000,415.400,-108.145,0
793,7.200,415.400,-49.116,14
794,7.900,415.400,-144.066,37
795,137.100,415.400,-72.086,40
796,4.000,415.400,-148.425,46
797,2.200,415.400,-89.536,24
798,7.200,415.400,-117.252,34
799,4.600,415.400,-141.836,36
800,2.900,415.400,-203.814,34
801,6.200,415.400,-69.920,27
802,6.000,415.400,-67.359,33
803,4.400,415.400,-134.045,47
804,4.600,415.400,-137.457,23
805,7.200,415.400,-72.729,1
806,8.400,415.400,-86.134,54
807,75.400,415.400,-101.311,46
808,3.200,415.400,-117.441,6
809,7.300,415.400,-105.436,49
810,62.000,415.400,-83.225,40
811,5.300,415.400,-96.320,14
812,13.500,415.400,-120.763,55
813,3.100,415.400,-68.920,14
814,7.300,415.400,-104.186,46
